id,model,state,tag,started_at,stopped_at,rounds,configuration
1,LinuxPrivescUseCase,got root,,2024-10-30 23:45:51,2024-10-30 23:46:05,4,
2,ExPrivEscLinuxUseCase,got root,,2024-10-30 23:59:11,2024-10-30 23:59:27,4,
3,ExPrivEscLinuxTemplatedUseCase,got root,,2024-10-31 00:00:15,2024-10-31 00:00:29,4,
4,ExPrivEscLinuxUseCase,got root,,2024-10-31 07:28:04,2024-10-31 07:28:21,4,
5,LinuxPrivescUseCase,got root,,2024-10-31 07:34:29,2024-10-31 07:34:43,4,
6,ExPrivEscLinuxUseCase,got root,,2024-10-31 08:56:23,2024-10-31 08:56:49,4,
7,LinuxPrivescUseCase,got root,,2024-10-31 09:10:00,2024-10-31 09:10:14,4,
8,LinuxPrivescUseCase,got root,,2024-10-31 09:28:01,2024-10-31 09:28:17,4,
9,ExPrivEscLinuxTemplatedUseCase,in progress,,2024-11-07 21:01:34,,,
10,WebTestingWithExplanationUseCase,in progress,,2024-11-07 21:04:42,,,
11,LinuxPrivescUseCase,in progress,,2024-11-07 21:10:43,,,
12,LinuxPrivescUseCase,got root,,2024-11-07 21:15:12,2024-11-07 21:15:25,4,
13,SimpleWebAPITestingUseCase,in progress,,2024-11-07 21:19:01,,,
